segment_id,track_id,geolocation_type,geolocation_id,sensor_id,snr_type,date_index,target_type
0,11,C,1,1,HighSNR,27,animal
1,16,C,1,1,HighSNR,27,animal
2,16,C,1,1,HighSNR,27,animal
3,29,C,1,1,HighSNR,27,animal
4,29,C,1,1,HighSNR,27,animal
5,29,C,1,1,HighSNR,27,animal
6,29,C,1,1,HighSNR,27,animal
7,29,C,1,1,HighSNR,27,animal
8,29,C,1,1,HighSNR,27,animal
9,29,C,1,1,HighSNR,27,animal
10,29,C,1,1,HighSNR,27,animal
11,29,C,1,1,HighSNR,27,animal
12,29,C,1,1,HighSNR,27,animal
13,29,C,1,1,HighSNR,27,animal
14,31,C,1,1,HighSNR,27,animal
15,31,C,1,1,HighSNR,27,animal
16,31,C,1,1,HighSNR,27,animal
17,31,C,1,1,HighSNR,27,animal
18,31,C,1,1,HighSNR,27,animal
19,31,C,1,1,HighSNR,27,animal
20,32,C,1,1,HighSNR,27,animal
21,32,C,1,1,HighSNR,27,animal
22,32,C,1,1,HighSNR,27,animal
23,32,C,1,1,HighSNR,27,animal
24,32,C,1,1,HighSNR,27,animal
25,32,C,1,1,HighSNR,27,animal
26,32,C,1,1,HighSNR,27,animal
27,32,C,1,1,HighSNR,27,animal
28,32,C,1,1,HighSNR,27,animal
29,32,C,1,1,HighSNR,27,animal
30,32,C,1,1,HighSNR,27,animal
31,32,C,1,1,HighSNR,27,animal
32,32,C,1,1,HighSNR,27,animal
33,32,C,1,1,HighSNR,27,animal
34,34,C,1,1,HighSNR,27,animal
35,34,C,1,1,HighSNR,27,animal
36,34,C,1,1,HighSNR,27,animal
37,34,C,1,1,HighSNR,27,animal
38,34,C,1,1,HighSNR,27,animal
39,34,C,1,1,HighSNR,27,animal
40,36,C,1,1,HighSNR,27,animal
41,36,C,1,1,HighSNR,27,animal
42,36,C,1,1,HighSNR,27,animal
43,36,C,1,1,HighSNR,27,animal
44,36,C,1,1,HighSNR,27,animal
45,36,C,1,1,HighSNR,27,animal
46,36,C,1,1,HighSNR,27,animal
47,36,C,1,1,HighSNR,27,animal
48,36,C,1,1,HighSNR,27,animal
49,36,C,1,1,HighSNR,27,animal
50,37,C,1,1,HighSNR,27,animal
51,37,C,1,1,HighSNR,27,animal
52,37,C,1,1,HighSNR,27,animal
53,37,C,1,1,HighSNR,27,animal
54,37,C,1,1,HighSNR,27,animal
55,37,C,1,1,HighSNR,27,animal
56,37,C,1,1,HighSNR,27,animal
57,37,C,1,1,HighSNR,27,animal
58,37,C,1,1,HighSNR,27,animal
59,37,C,1,1,HighSNR,27,animal
60,37,C,1,1,HighSNR,27,animal
61,37,C,1,1,HighSNR,27,animal
62,41,C,1,1,HighSNR,27,animal
63,41,C,1,1,HighSNR,27,animal
64,41,C,1,1,HighSNR,27,animal
65,45,C,1,1,HighSNR,27,animal
66,45,C,1,1,HighSNR,27,animal
67,45,C,1,1,HighSNR,27,animal
68,46,C,1,1,HighSNR,27,animal
69,49,C,1,1,HighSNR,27,animal
70,49,C,1,1,HighSNR,27,animal
71,49,C,1,1,HighSNR,27,animal
72,49,C,1,1,HighSNR,27,animal
73,49,C,1,1,HighSNR,27,animal
74,49,C,1,1,HighSNR,27,animal
75,49,C,1,1,HighSNR,27,animal
76,49,C,1,1,HighSNR,27,animal
77,49,C,1,1,HighSNR,27,animal
78,49,C,1,1,HighSNR,27,animal
79,55,C,1,1,HighSNR,27,animal
80,55,C,1,1,HighSNR,27,animal
81,57,C,1,1,HighSNR,27,animal
82,57,C,1,1,HighSNR,27,animal
83,78,C,1,1,HighSNR,28,animal
84,78,C,1,1,HighSNR,28,animal
85,78,C,1,1,HighSNR,28,animal
86,78,C,1,1,HighSNR,28,animal
87,80,C,1,1,HighSNR,28,animal
88,80,C,1,1,HighSNR,28,animal
89,89,C,1,1,HighSNR,28,animal
90,91,C,1,1,HighSNR,28,animal
91,91,C,1,1,HighSNR,28,animal
92,91,C,1,1,HighSNR,28,animal
93,92,C,1,1,HighSNR,28,animal
94,92,C,1,1,HighSNR,28,animal
95,92,C,1,1,HighSNR,28,animal
96,92,C,1,1,HighSNR,28,animal
97,92,C,1,1,HighSNR,28,animal
98,93,C,1,1,HighSNR,28,animal
99,94,C,1,1,HighSNR,28,animal
100,97,C,1,1,HighSNR,26,animal
101,100,C,1,1,HighSNR,26,animal
102,101,C,1,1,HighSNR,26,animal
103,101,C,1,1,HighSNR,26,animal
104,102,C,1,1,HighSNR,26,animal
105,103,C,1,1,HighSNR,26,animal
106,103,C,1,1,HighSNR,26,animal
107,104,C,1,1,HighSNR,26,animal
108,104,C,1,1,HighSNR,26,animal
109,104,C,1,1,HighSNR,26,animal
110,104,C,1,1,HighSNR,26,animal
111,104,C,1,1,HighSNR,26,animal
112,104,C,1,1,HighSNR,26,animal
113,104,C,1,1,HighSNR,26,animal
114,104,C,1,1,HighSNR,26,animal
115,104,C,1,1,HighSNR,26,animal
116,104,C,1,1,HighSNR,26,animal
117,104,C,1,1,HighSNR,26,animal
118,104,C,1,1,HighSNR,26,animal
119,106,C,1,1,HighSNR,26,animal
120,106,C,1,1,HighSNR,26,animal
121,106,C,1,1,HighSNR,26,animal
122,107,C,1,1,HighSNR,26,animal
123,108,C,1,1,HighSNR,26,animal
124,108,C,1,1,HighSNR,26,animal
125,108,C,1,1,HighSNR,26,animal
126,108,C,1,1,HighSNR,26,animal
127,109,C,1,1,HighSNR,26,animal
128,109,C,1,1,HighSNR,26,animal
129,109,C,1,1,HighSNR,26,animal
130,110,C,1,1,HighSNR,26,animal
131,110,C,1,1,HighSNR,26,animal
132,110,C,1,1,HighSNR,26,animal
133,110,C,1,1,HighSNR,26,animal
134,110,C,1,1,HighSNR,26,animal
135,110,C,1,1,HighSNR,26,animal
136,113,C,1,1,HighSNR,26,animal
137,113,C,1,1,HighSNR,26,animal
138,114,C,1,1,HighSNR,26,animal
139,114,C,1,1,HighSNR,26,animal
140,114,C,1,1,HighSNR,26,animal
141,114,C,1,1,HighSNR,26,animal
142,115,C,1,1,HighSNR,26,animal
143,116,C,1,1,HighSNR,26,animal
144,119,C,1,1,HighSNR,26,animal
145,119,C,1,1,HighSNR,26,animal
146,119,C,1,1,HighSNR,26,animal
147,119,C,1,1,HighSNR,26,animal
148,120,C,1,1,HighSNR,26,animal
149,120,C,1,1,HighSNR,26,animal
150,123,C,1,1,HighSNR,26,animal
151,123,C,1,1,HighSNR,26,animal
152,123,C,1,1,HighSNR,26,animal
153,123,C,1,1,HighSNR,26,animal
154,125,C,1,1,HighSNR,26,animal
155,125,C,1,1,HighSNR,26,animal
156,125,C,1,1,HighSNR,26,animal
157,125,C,1,1,HighSNR,26,animal
158,125,C,1,1,HighSNR,26,animal
159,125,C,1,1,HighSNR,26,animal
160,126,C,1,1,HighSNR,26,animal
161,126,C,1,1,HighSNR,26,animal
